idade,renda,hist_credito,emprego,propriedade
89,35513.17,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Senior Quality Engineer,justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse
49,29022.84,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Compensation Analyst,rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis
60,78695.58,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Sales Associate,consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat
60,68425.88,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Assistant Professor,maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam
75,32194.25,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Staff Scientist,sit amet diam in magna bibendum imperdiet nullam orci pede
67,26388.78,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Structural Engineer,est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum
63,4871.97,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Assistant Manager,curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi
61,12735.86,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Analog Circuit Design manager,justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin
45,46206.37,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Account Executive,tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim
98,37417.21,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Human Resources Assistant IV,porttitor pede justo eu massa donec dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst morbi
60,94911.05,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Safety Technician II,venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue
75,73055.67,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Geological Engineer,vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum
43,93056.72,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Speech Pathologist,condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar
98,23186.1,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Physical Therapy Assistant,suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet
90,9039.2,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Sales Representative,integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc
41,56215.63,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Nuclear Power Engineer,feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse
75,90116.16,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Senior Cost Accountant,vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis
59,3296.9,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Librarian,sed accumsan felis ut at dolor quis odio consequat varius integer ac leo
66,15581.43,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Administrative Assistant III,cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus
36,50379.95,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Geologist IV,purus eu magna vulputate luctus cum sociis natoque penatibus et magnis
50,74331.01,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Geologist I,non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non
99,18049.46,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Computer Systems Analyst I,ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate
38,16347.22,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Senior Cost Accountant,non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus
24,8859.23,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Civil Engineer,justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est
31,40273.99,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Research Assistant IV,vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit
61,83432.21,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Marketing Assistant,nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis
28,38457.8,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Marketing Manager,magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi
86,34776.71,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Technical Writer,ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et
61,24986.25,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,VP Product Management,elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec
83,21983.7,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Account Executive,ultrices libero non mattis pulvinar nulla pede ullamcorper augue a
97,59534.91,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Office Assistant II,lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy
57,60571.89,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Senior Sales Associate,proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut
43,90775.11,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Quality Control Specialist,eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum
72,46449.76,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,General Manager,in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut
53,16917.09,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Occupational Therapist,iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris
30,84762.56,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Electrical Engineer,lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis
21,52802.74,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Registered Nurse,interdum mauris non ligula pellentesque ultrices phasellus id sapien in
35,38480.38,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Assistant Professor,id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi
39,82678.62,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Financial Analyst,ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus
79,22757.89,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Legal Assistant,morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla
56,66176.81,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Teacher,nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh
93,42872.51,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Food Chemist,habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat
39,87496.02,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Senior Cost Accountant,iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque
26,41012.2,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Help Desk Operator,lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac
20,7801.35,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Electrical Engineer,nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula
44,88074.3,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Social Worker,placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula
38,18991.34,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Editor,commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt
98,23173.79,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Geological Engineer,dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien
51,51202.51,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Geological Engineer,eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in
86,40402.47,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Nuclear Power Engineer,turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis
87,90376.01,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Media Manager III,eu massa donec dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst
40,10265.61,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Graphic Designer,justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit
39,97253.8,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Compensation Analyst,in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur
73,54228.88,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Financial Analyst,molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget
42,30409.78,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Research Assistant III,in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium
84,62213.94,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Nuclear Power Engineer,consequat morbi a ipsum integer a nibh in quis justo maecenas
94,87474.55,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Structural Analysis Engineer,dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti
29,30709.27,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Geologist III,potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam
68,20372.65,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Senior Editor,libero nam dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at
37,49351.45,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Systems Administrator I,id ornare imperdiet sapien urna pretium nisl ut volutpat sapien
22,86753.41,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Technical Writer,in est risus auctor sed tristique in tempus sit amet
83,21098.88,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,VP Sales,elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non
66,22126.31,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Desktop Support Technician,molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique
74,53935.76,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Business Systems Development Analyst,porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor
46,79902.21,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Sales Representative,odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla
26,91461.58,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Account Coordinator,nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo
90,73189.82,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Web Designer I,eget nunc donec quis orci eget orci vehicula condimentum curabitur in
50,96584.37,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Software Test Engineer III,natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis
69,71897.22,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Account Coordinator,mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus
22,53447.39,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Physical Therapy Assistant,diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam
94,52789.86,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Electrical Engineer,quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam
42,31025.63,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Developer II,mi sit amet lobortis sapien sapien non mi integer ac neque duis
28,35423.73,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Electrical Engineer,iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci
91,11033.1,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Analog Circuit Design manager,ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti
48,25052.23,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Financial Analyst,ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra
93,59113.82,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,VP Quality Control,leo maecenas pulvinar lobortis est phasellus sit amet erat nulla
53,79717.99,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Analyst Programmer,vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non
94,69265.68,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Operator,posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non
29,63531.99,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Legal Assistant,erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus
73,71378.58,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Account Executive,ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec
89,27061.0,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Account Executive,mattis odio donec vitae nisi nam ultrices libero non mattis
31,18008.68,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Health Coach IV,lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis
77,56010.07,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Research Nurse,amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque
44,80097.02,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Software Test Engineer III,congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla
42,80371.63,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Senior Financial Analyst,purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst
51,73123.81,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Mechanical Systems Engineer,hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur
22,38841.91,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Software Test Engineer IV,nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget
20,68190.47,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Information Systems Manager,nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in
90,98562.09,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,GIS Technical Architect,ut nulla sed accumsan felis ut at dolor quis odio
21,49777.66,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Biostatistician III,vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a
88,50573.62,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Occupational Therapist,nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in
22,39956.37,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Quality Engineer,erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit
28,58071.61,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Nuclear Power Engineer,enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam
92,30867.41,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Executive Secretary,lectus suspendisse potenti in eleifend quam a odio in hac
76,86874.48,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,VP Sales,donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo
19,82302.33,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Occupational Therapist,augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur
30,66850.63,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Physical Therapy Assistant,id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus
26,79628.46,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Recruiting Manager,justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan
100,63436.21,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Help Desk Technician,luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio
79,76553.17,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Geologist II,ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan
22,36931.82,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Paralegal,a ipsum integer a nibh in quis justo maecenas rhoncus aliquam
96,90777.6,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Structural Analysis Engineer,non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales
44,64927.08,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Account Executive,neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui
67,10612.41,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Administrative Assistant II,ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur
87,37378.04,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Database Administrator IV,consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae
53,626.8,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Account Executive,nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at
74,56635.1,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Product Engineer,turpis donec posuere metus vitae ipsum aliquam non mauris morbi
84,92093.29,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Sales Associate,id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus
33,2147.59,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Structural Analysis Engineer,parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis
83,93581.13,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Human Resources Manager,hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at
46,18520.2,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,VP Product Management,venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus
58,41928.95,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Marketing Assistant,dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula
92,56815.68,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Administrative Officer,morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis
48,79542.11,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Occupational Therapist,habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat
65,33884.0,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Health Coach IV,scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum
72,12723.61,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Database Administrator IV,nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing
94,18239.29,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Recruiting Manager,massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio
95,10292.02,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Business Systems Development Analyst,enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu est congue elementum
33,51840.7,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Help Desk Technician,feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare
32,25756.93,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Financial Advisor,mauris sit amet eros suspendisse accumsan tortor quis turpis sed
82,78029.72,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Web Developer II,donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies
72,16345.63,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Tax Accountant,sed accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque
47,77902.8,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Design Engineer,vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna
84,28357.72,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Media Manager I,orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate
36,17347.99,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Statistician IV,vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia
90,12497.88,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Systems Administrator III,nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et
60,35129.73,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Cost Accountant,pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis
32,65815.94,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Technical Writer,velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros
96,90558.13,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Assistant Manager,in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing
67,29163.27,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Statistician II,luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non
66,53632.69,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Financial Advisor,massa tempor convallis nulla neque libero convallis eget eleifend luctus
74,38701.27,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Payment Adjustment Coordinator,elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis
27,64734.77,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Quality Engineer,non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel
